company_id,metric_type,period_years,parsed_pct,computed_pct,difference_pct,review_flag
HDFCBANK,compounded_sales_growth,10,21.0,20.89,0.11,NO
HDFCBANK,compounded_profit_growth,10,22.0,22.26,0.26,NO
SBILIFE,compounded_sales_growth,5,24.0,24.23,0.23,NO
SBILIFE,compounded_profit_growth,5,6.0,7.37,1.37,NO
SBILIFE,compounded_sales_growth,3,17.0,17.24,0.24,NO
SBILIFE,compounded_profit_growth,3,9.0,9.16,0.16,NO
TCS,compounded_sales_growth,10,11.0,11.4,0.4,NO
TCS,compounded_profit_growth,10,9.0,9.08,0.08,NO
TCS,compounded_sales_growth,5,10.0,10.46,0.46,NO
TCS,compounded_profit_growth,5,8.0,7.87,0.13,NO
TCS,compounded_sales_growth,3,14.0,13.63,0.37,NO
TCS,compounded_profit_growth,3,12.0,12.29,0.29,NO
HDFCBANK,compounded_sales_growth,5,22.0,21.95,0.05,NO
HDFCBANK,compounded_profit_growth,5,23.0,23.87,0.87,NO
HDFCBANK,compounded_sales_growth,3,30.0,30.19,0.19,NO
HDFCBANK,compounded_profit_growth,3,26.0,27.12,1.12,NO
INFY,compounded_sales_growth,10,12.0,11.85,0.15,NO
INFY,compounded_profit_growth,10,9.0,9.43,0.43,NO
INFY,compounded_sales_growth,5,13.0,13.2,0.2,NO
INFY,compounded_profit_growth,5,11.0,11.24,0.24,NO
INFY,compounded_sales_growth,3,5.0,15.22,10.22,YES
INFY,compounded_profit_growth,3,10.0,10.56,0.56,NO
SBILIFE,compounded_sales_growth,10,23.0,22.56,0.44,NO
SBILIFE,compounded_profit_growth,10,9.0,10.03,1.03,NO
