company_id,company_name,broad_sector,sub_sector,market_cap_category,cluster_id,cluster_name,distance_from_centroid
RELIANCE,"Reliance Industries Ltd
",Energy,Conglomerates,Large Cap,0,Diversified Core Compounders,0.2306725854406335
SHREECEM,Shree Cement Ltd,Materials,Cement,Large Cap,0,Diversified Core Compounders,0.2576328651277497
TCS,Tata Consultancy Services Ltd,Information Technology,IT Services,Large Cap,0,Diversified Core Compounders,0.3162875223246837
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,Automobiles,Mid Cap,0,Diversified Core Compounders,0.3406343154825675
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,Paints & Coatings,Large Cap,0,Diversified Core Compounders,0.3705887515051793
INFY,Infosys Ltd,Information Technology,IT Services,Large Cap,0,Diversified Core Compounders,0.3787753600111304
GAIL,GAIL (India) Ltd,Energy,Gas Distribution,Large Cap,0,Diversified Core Compounders,0.3817623078192916
ATGL,Adani Total Gas Ltd,Energy,Gas Distribution,Large Cap,0,Diversified Core Compounders,0.4057424045582036
PIDILITIND,Pidilite Industries Ltd,Materials,Specialty Chemicals,Large Cap,0,Diversified Core Compounders,0.4502036149960657
HCLTECH,HCL Technologies Ltd,Information Technology,IT Services,Large Cap,0,Diversified Core Compounders,0.4617963506049843
NTPC,NTPC Ltd,Energy,Power & Utilities,Large Cap,0,Diversified Core Compounders,0.4855550918087192
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,Two Wheelers,Large Cap,0,Diversified Core Compounders,0.495375867976251
BPCL,Bharat Petroleum Corporation Ltd,Energy,Oil & Gas Refining,Large Cap,0,Diversified Core Compounders,0.5364960852645301
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,Healthcare,Large Cap,0,Diversified Core Compounders,0.5708451249576539
ONGC,Oil & Natural Gas Corpn Ltd,Energy,Oil & Gas Exploration,Large Cap,0,Diversified Core Compounders,0.5819440308516081
NESTLEIND,Nestle India Ltd,Consumer Staples,Food Products,Large Cap,0,Diversified Core Compounders,0.583621218817258
IOC,"Indian Oil Corporation
",Energy,Oil & Gas Refining,Mid Cap,0,Diversified Core Compounders,0.5848213029430599
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,Automobiles,Large Cap,0,Diversified Core Compounders,0.5887897929328695
ABB,Abbott India Ltd,Industrials,Capital Goods,Large Cap,0,Diversified Core Compounders,0.6051137013209037
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,Two Wheelers,Large Cap,0,Diversified Core Compounders,0.6109920893799506
TECHM,Tech Mahindra Ltd,Information Technology,IT Services,Large Cap,0,Diversified Core Compounders,0.6186743029740156
TATASTEEL,"Tata Steel Ltd
",Materials,Steel,Mid Cap,0,Diversified Core Compounders,0.6253911711155995
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,Auto Ancillaries,Large Cap,0,Diversified Core Compounders,0.6454676641822851
JSWSTEEL,JSW Steel Ltd,Materials,Steel,Large Cap,0,Diversified Core Compounders,0.6610664251983293
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,Personal Products,Large Cap,0,Diversified Core Compounders,0.6632195126354925
TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare,Pharmaceuticals,Large Cap,0,Diversified Core Compounders,0.7281173143950439
DIVISLAB,Divis Laboratories Ltd,Healthcare,Pharmaceuticals,Large Cap,0,Diversified Core Compounders,0.7340305603399782
LT,Larsen & Toubro Ltd,Industrials,Engineering & Construction,Large Cap,0,Diversified Core Compounders,0.7619544619252977
GRASIM,Grasim Industries Ltd,Industrials,Diversified Industrials,Mid Cap,0,Diversified Core Compounders,0.7728245934047567
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,Automobiles,Large Cap,0,Diversified Core Compounders,0.8301398681126726
ITC,"ITC Ltd
",Consumer Staples,Diversified FMCG,Large Cap,0,Diversified Core Compounders,0.8644168645870098
TATAPOWER,"Tata Power Company Ltd
",Energy,Power & Utilities,Mid Cap,0,Diversified Core Compounders,0.875483677535738
AMBUJACEM,Ambuja Cements Ltd,Materials,Cement,Large Cap,0,Diversified Core Compounders,0.8760867064174133
DABUR,Dabur India Ltd,Consumer Staples,Personal Products,Large Cap,0,Diversified Core Compounders,0.8777892448308139
NAUKRI,Info Edge (India) Ltd,Communication Services,Internet & Platforms,Large Cap,0,Diversified Core Compounders,0.8934249991746285
HAVELLS,Havells India Ltd,Industrials,Consumer Electricals,Large Cap,0,Diversified Core Compounders,0.9533470480329146
