company_id,company_name,broad_sector,sub_sector,market_cap_category,year,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,market_cap_crore,pe_ratio,pb_ratio,dividend_yield_pct,composite_quality_score,quality_rank,risk_score
PFC,Power Finance Corporation Ltd,Financials,Speciality Finance,Large Cap,2024,26.16,3.49,28.92,36.69,8.52,0.58,2011885.81,35.6,6.59,0.42,50,39.5187265917603,98.21722846441946
CANBK,Canara Bank,Financials,Public Sector Banks,Large Cap,2024,16.72,3.16,13.94,41.75,14.87,1.61,496415.88,36.74,12.61,3.81,50,30.123595505617974,95.95505617977528
IRFC,Indian Railway Finance Corporation Ltd,Financials,Speciality Finance,Large Cap,2024,13.04,5.75,24.06,99.5,8.38,1.32,2618348.58,9.81,3.91,2.82,25,34.88014981273408,95.75280898876404
BANKBARODA,Bank of Baroda,Financials,Public Sector Banks,Large Cap,2024,15.76,2.82,15.94,37.49,12.14,1.9,590971.02,16.89,4.15,2.62,50,27.676029962546814,93.49063670411985
AXISBANK,Axis Bank Ltd,Financials,Private Banks,Large Cap,2024,15.83,2.61,22.73,34.69,8.25,1.69,948868.63,38.14,4.66,2.32,50,30.89513108614232,92.83895131086143
HDFCBANK,HDFC Bank Ltd,Financials,Private Banks,Large Cap,2024,14.34,4.89,23.07,61.41,6.81,1.4,808359.03,49.42,4.4,4.33,25,32.31835205992509,92.6367041198502
ICICIBANK,ICICI Bank Ltd,Financials,Private Banks,Large Cap,2024,17.99,5.22,28.89,62.41,6.45,1.3,1319221.86,25.76,6.2,3.43,50,49.93258426966292,92.20224719101124
INDUSINDBK,IndusInd Bank Ltd,Financials,Private Banks,Large Cap,2024,14.25,3.56,19.56,38.55,6.89,1.88,1807433.12,8.99,3.7,1.42,25,27.580524344569287,91.27340823970037
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Financials,Private Banks,Large Cap,2024,14.01,7.23,32.39,83.67,4.0,1.24,430223.52,32.9,1.15,1.51,25,37.7752808988764,90.65168539325842
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,Consumer Finance,Large Cap,2024,15.12,4.32,20.33,28.92,3.99,0.68,868933.47,68.53,7.91,1.86,50,30.14232209737828,90.43445692883894
RECLTD,REC Ltd,Financials,Speciality Finance,Large Cap,2024,20.4,9.31,29.77,100.77,6.42,1.6,291917.42,31.49,4.59,2.18,50,41.337078651685395,89.73782771535579
ADANIGREEN,Adani Green Energy Ltd,Energy,Renewable Energy,Large Cap,2024,12.81,11.49,13.67,79.37,6.6,1.71,510512.78,45.26,6.24,0.89,25,38.40823970037453,89.72284644194757
BAJAJFINSV,Bajaj Finserv Ltd,Financials,Diversified Financials,Large Cap,2024,25.85,11.71,14.13,37.04,4.79,2.2,1905112.17,15.07,6.08,2.56,50,39.68913857677903,85.9250936329588
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,Two Wheelers,Large Cap,2024,26.22,17.1,4.54,14.05,3.83,2.91,266591.41,46.1,5.62,3.07,50,39.55992509363296,81.67790262172284
ADANIENSOL,Adani Energy Solutions Ltd,Energy,Power & Utilities,Large Cap,2024,9.46,12.72,7.2,34.39,2.93,2.28,348517.36,58.5,9.05,1.65,0,33.531835205992515,81.47565543071161
ADANIENT,Adani Enterprises Ltd,Industrials,Conglomerates,Large Cap,2024,8.53,12.0,3.46,11.8,1.67,2.75,187927.97,58.87,10.41,0.83,0,29.303370786516854,79.24344569288388
BHARTIARTL,Bharti Airtel Ltd,Communication Services,Telecommunications,Large Cap,2024,10.36,25.1,5.71,52.2,2.61,3.31,378605.83,63.78,6.28,1.02,25,40.659176029962545,77.66292134831461
TATAPOWER,"Tata Power Company Ltd
",Energy,Power & Utilities,Mid Cap,2024,13.23,16.45,6.97,17.47,1.66,3.05,1647269.48,14.5,3.48,0.49,25,39.99812734082397,76.77902621722846
JSWENERGY,JSW Energy Ltd,Energy,Power & Utilities,Mid Cap,2024,8.28,11.17,15.02,46.86,1.52,2.85,110870.53,24.79,9.88,1.25,25,35.846441947565545,75.46067415730337
GRASIM,Grasim Industries Ltd,Industrials,Diversified Industrials,Mid Cap,2024,11.2,12.39,7.58,20.76,1.55,3.02,478951.82,79.35,5.68,0.98,0,24.584269662921347,75.22846441947566
