kpi,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.386,11.73,16.275,25.927500000000002,47.969000000000015,122.70130434782605,633.7380502199876
return_on_assets_pct,1.158,2.5149999999999997,6.21,13.53,22.420000000000012,61.080434782608684,316.1032997485106
return_on_capital_employed_pct,4.324,11.4375,20.54,36.1575,116.96400000000007,193.623152173913,831.7582111591169
debt_to_equity,0.010999999999999996,0.057499999999999996,0.435,1.5725,6.447,1.6548913043478264,2.850318372256029
interest_coverage,1.692,3.4825,11.36,57.97,190.5030000000001,125.01065217391306,483.3797560851888
operating_profit_margin_pct,10.143999999999998,17.065,26.18,39.349999999999994,84.00300000000001,35.02684782608696,26.907226364193527
net_profit_margin_pct,4.619000000000001,7.245,14.120000000000001,20.347499999999997,29.244000000000003,19.98891304347826,45.18638084854947
asset_turnover,0.072,0.2175,0.6699999999999999,1.1324999999999998,1.6560000000000001,3.4739130434782606,15.763095860687853
fcf_conversion_pct,-121.83700000000002,-10.440000000000001,20.18,45.845,73.132,-17.26760869565217,149.42425637833645
dividend_payout_ratio_pct,2.0999999999999996,14.75,26.0,42.5,63.80000000000001,30.097826086956523,29.11140397466284
