broad_sector,average_risk,average_debt,average_interest,companies
Energy,65.77009507346587,1.5384615384615385,7.921538461538462,13
Financials,62.95808810415552,4.819999999999999,366.03285714285715,22
Real Estate,53.059925093632955,0.28,6.545,2
Communication Services,49.58052434456929,1.3099999999999998,16.14,2
Industrials,47.17640449438202,0.583,99.874,10
Materials,44.74198918019143,0.3711111111111111,32.77222222222222,9
Consumer Discretionary,39.85687533440342,0.6971428571428572,52.89999999999999,14
Consumer Staples,37.173354735152486,0.18142857142857144,76.2242857142857,7
Healthcare,33.56304619225968,0.25,132.855,6
Information Technology,32.84494382022472,0.092,53.374,5
