company_id,company_name,broad_sector,sub_sector,market_cap_category,year,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,market_cap_crore,pe_ratio,pb_ratio,dividend_yield_pct,composite_quality_score,quality_rank,valuation_score
TRENT,Trent Ltd,Consumer Discretionary,Retail,Large Cap,2024,36.31,50.85,11.94,15.93,0.43,8.04,571322.04,8.65,11.82,3.46,100,65.50561797752809,69.55555555555556
INDUSINDBK,IndusInd Bank Ltd,Financials,Private Banks,Large Cap,2024,14.25,3.56,19.56,38.55,6.89,1.88,1807433.12,8.99,3.7,1.42,25,27.580524344569287,76.44444444444444
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,Auto Ancillaries,Large Cap,2024,11.55,20.54,3.06,9.45,0.76,5.22,146151.16,9.54,2.38,2.18,50,40.140449438202246,73.66666666666666
IRFC,Indian Railway Finance Corporation Ltd,Financials,Speciality Finance,Large Cap,2024,13.04,5.75,24.06,99.5,8.38,1.32,2618348.58,9.81,3.91,2.82,25,34.88014981273408,72.22222222222221
TITAN,"Titan Company Ltd
",Consumer Discretionary,Gems & Jewellery,Large Cap,2024,37.22,23.38,6.84,10.36,1.65,9.41,1793769.72,10.13,10.51,3.1,50,50.09737827715356,69.77777777777777
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,Pharmaceuticals,Mid Cap,2024,19.74,29.22,19.91,28.32,0.07,51.71,2441803.28,11.73,10.19,0.09,100,61.261235955056186,63.33333333333334
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,Automobiles,Large Cap,2024,18.54,16.12,8.82,17.9,1.64,3.76,4173085.48,14.22,0.81,2.37,50,38.883895131086135,84.22222222222223
TATAPOWER,"Tata Power Company Ltd
",Energy,Power & Utilities,Mid Cap,2024,13.23,16.45,6.97,17.47,1.66,3.05,1647269.48,14.5,3.48,0.49,25,39.99812734082397,72.11111111111111
BAJAJFINSV,Bajaj Finserv Ltd,Financials,Diversified Financials,Large Cap,2024,25.85,11.71,14.13,37.04,4.79,2.2,1905112.17,15.07,6.08,2.56,50,39.68913857677903,76.83333333333334
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,Two Wheelers,Large Cap,2024,22.17,31.68,24.2,26.18,0.02,114.71,222391.83,15.62,13.61,4.41,100,68.27059925093633,57.888888888888886
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,Consumer Finance,Large Cap,2024,17.46,3.51,17.85,28.1,6.86,21.21,971931.96,16.79,10.36,2.83,50,29.79962546816479,58.27777777777777
BANKBARODA,Bank of Baroda,Financials,Public Sector Banks,Large Cap,2024,15.76,2.82,15.94,37.49,12.14,1.9,590971.02,16.89,4.15,2.62,50,27.676029962546814,73.33333333333334
BEL,Bharat Electronics Ltd,Industrials,Defence Electronics,Large Cap,2024,4744.05,4504.72,19.66,24.92,0.51,476.75,1354781.06,17.89,9.22,0.76,100,80.30243445692885,75.22222222222223
ONGC,Oil & Natural Gas Corpn Ltd,Energy,Oil & Gas Exploration,Large Cap,2024,16.94,23.62,9.66,17.39,0.45,11.36,390111.05,18.15,10.36,1.11,75,54.04494382022472,56.277777777777786
PNB,Punjab National Bank,Financials,Public Sector Banks,Large Cap,2024,61.32,,8.4,,3.68,,1825925.6,19.29,10.91,1.32,25,,67.33333333333333
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,Automobiles,Mid Cap,2024,15.75,26.67,9.51,13.13,0.0,117.91,1503863.63,20.78,8.26,1.78,75,58.532771535580515,59.88888888888889
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,Life Insurance,Large Cap,2024,7.73,754.89,0.94,102.03,0.11,31.02,1596987.55,20.83,12.38,0.35,50,36.823970037453186,38.11111111111111
JSWENERGY,JSW Energy Ltd,Energy,Power & Utilities,Mid Cap,2024,8.28,11.17,15.02,46.86,1.52,2.85,110870.53,24.79,9.88,1.25,25,35.846441947565545,43.333333333333336
ICICIBANK,ICICI Bank Ltd,Financials,Private Banks,Large Cap,2024,17.99,5.22,28.89,62.41,6.45,1.3,1319221.86,25.76,6.2,3.43,50,49.93258426966292,66.88888888888889
GAIL,GAIL (India) Ltd,Energy,Gas Distribution,Large Cap,2024,12.86,17.19,7.43,10.74,0.28,23.62,1531867.57,25.84,9.54,0.31,50,41.34082397003745,49.111111111111114
